Hotel Name,Hotel Price,Hotel Score
The Royal galaxy,"2,878",3.8
Hotel O Sriman Stay Inn,"3,589",5.5
Hotel O Bharat Lodge,"3,589",3.8
Hotel O Athidhi Stay Inn,"3,729",5.7
Hotel O Lavish Stay,"4,045",4.5
Hotel O New Hotel Aroma Classic,"4,168",3.2
Hotel O SV SUITES,"4,470",8.8
Hotel O FORTUNE INN,"4,473",1.0
Hotel O Relax Grand Near Snow World,"4,489",5.9
Hotel O Raga Stays,"4,498",1.0
Hotel O Hanuma Resdiceny,"4,570",3.4
Collection O Shamshabad,"4,598",6.3
Super Collection O Cititel Mehdipatnam,"4,700",4.2
Hotel Oagship Vsm Grand,"4,764",6.3
Super Collection O PNR COMFORT KHAIRATABAD,"4,800",1.7
Super Hotel O RBS ECIL,"4,839",10
Super Collection O Pnr International Mehdipatnam,"4,910",4.6
Super Hotel O NEW PLATINUM,"4,948",6.0
Hotel O Helloworld tech view,"5,004",3.7
Collection O Magnus Suites Luxury rooms,"5,027",7.7
Hotel O Ashoka Classic Near Gokul Chat,"5,062",5.8
Hotel O R SQUARE,"5,266",2.0
Super Hotel O PR Stay Inn,"5,273",6.2
